% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=105580, Mon Apr  7 16:29:32 2025, <python>{}</python>
1 6 0.4290019483127277 1 0 0.46204543113708496 0.5048543957514724
2 12 0.3435019948710607 1 0 0.46204543113708496 0.5048543957514724
3 18 0.278144913243335 1 0 0.46204543113708496 0.5048543957514724
4 24 0.2288252312223747 1 0 0.46204543113708496 0.5048543957514724
5 30 0.18793021179313432 1 0 0.46204543113708496 0.5048543957514724
6 36 0.20531495728892962 1 0 0.46204543113708496 0.5048543957514724
7 42 0.1734558394451089 1 0 0.46204543113708496 0.5048543957514724
8 48 0.13961781714984892 1 0 0.46204543113708496 0.5048543957514724
9 54 0.1169101241884851 1 0 0.46204543113708496 0.5048543957514724
10 60 0.1069058308318145 1 0 0.46204543113708496 0.5048543957514724
11 66 0.09021775137220454 1 0 0.46204543113708496 0.5048543957514724
12 72 0.08285826636625201 1 0 0.46204543113708496 0.5048543957514724
13 78 0.07641035572655097 1 0 0.46204543113708496 0.5048543957514724
14 84 0.061404956888818064 1 0 0.46204543113708496 0.5048543957514724
15 90 0.05279967260625893 1 0 0.46204543113708496 0.5048543957514724
16 96 0.04244326431805288 1 0 0.46204543113708496 0.5048543957514724
17 102 0.03126000207911122 1 0 0.46204543113708496 0.5048543957514724
18 108 0.027817254560795344 1 0 0.46204543113708496 0.5048543957514724
19 114 0.022672508962131625 1 0 0.46204543113708496 0.5048543957514724
20 120 0.020158838171901956 1 0 0.46204543113708496 0.5048543957514724
21 126 0.01653071592085657 1 0 0.46204543113708496 0.5048543957514724
22 132 0.018570444542191006 1 0 0.46204543113708496 0.5048543957514724
23 138 0.01866112406754751 1 0 0.46204543113708496 0.5048543957514724
24 144 0.019612419387536058 1 0 0.46204543113708496 0.5048543957514724
25 150 0.019627783194062044 1 0 0.46204543113708496 0.5048543957514724
26 156 0.017212440203394182 1 0 0.46204543113708496 0.5048543957514724
27 162 0.012708482969293774 1 0 0.46204543113708496 0.5048543957514724
28 168 0.011993403205060203 1 0 0.46204543113708496 0.5048543957514724
29 174 0.010107609948999424 1 0 0.46204543113708496 0.5048543957514724
30 180 0.008472270867470176 1 0 0.46204543113708496 0.5048543957514724
31 186 0.0063066994638457125 1 0 0.46204543113708496 0.5048543957514724
32 192 0.004992683346706219 1 0 0.46204543113708496 0.5048543957514724
33 198 0.005173110916411234 1 0 0.46204543113708496 0.5048543957514724
33 198 0.005173110916411234 1 0 0.46204543113708496 0.5048543957514724
